City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
294,hasaki,35.7333,140.8333,16.97,95,100,4.96,JP,1731264751
295,acapulco de juarez,16.8634,-99.8901,29.9,74,75,3.6,MX,1731264752
296,juan griego,11.0817,-63.9655,37.07,47,64,5.14,VE,1731264753
297,kongsberg,59.6652,9.6465,2.88,92,100,1.16,NO,1731264754
298,sao joao da barra,-21.6403,-41.0511,25.05,64,49,7.24,BR,1731264755
299,nuku'alofa,-21.1333,-175.2,23.19,88,40,3.6,TO,1731264756
300,pauini,-7.7136,-66.9764,32.69,51,98,1.8,BR,1731264757
301,mitrofanovka,49.9708,39.6939,4.31,89,100,1.7,RU,1731264758
302,san ignacio de velasco,-16.3667,-60.95,33.77,40,31,4.88,BO,1731264760
303,katabu,-4.9333,122.5167,24.02,95,23,1.29,ID,1731264761
304,new norfolk,-42.7826,147.0587,7.06,99,10,1.37,AU,1731264762
305,belokurikha,51.9959,84.9896,3.27,57,100,9.15,RU,1731264763
306,sola,-13.8833,167.55,27.37,78,75,2.06,VU,1731264764
307,swakopmund,-22.6833,14.5333,17.21,79,8,4.02,NA,1731264765
308,luancheng,37.8792,114.6517,11.14,76,0,2.13,CN,1731264766
309,aasiaat,68.7098,-52.8699,-8.75,96,97,1.38,GL,1731264767
310,kingston,17.997,-76.7936,31.76,74,20,8.23,JM,1731264721
311,narayanpet,16.7333,77.5,21.7,65,34,3.52,IN,1731264769
312,timbuktu,16.7735,-3.0074,27.87,12,100,4.35,ML,1731264599
313,lerwick,60.1545,-1.1494,9.73,79,98,7.84,GB,1731264771
314,princeville,45.7668,-61.2985,5.43,61,0,7.2,CA,1731264772
315,paulinia,-22.7611,-47.1542,27.52,59,2,2.69,BR,1731264774
316,homer,59.6425,-151.5483,4.32,75,100,0.0,US,1731264775
317,touros,-5.1989,-35.4608,26.98,68,100,6.47,BR,1731264776
318,nova sintra,14.8667,-24.7167,26.87,74,66,6.75,CV,1731264777
319,manglaur,29.8,77.8667,20.52,60,0,1.92,IN,1731264778
320,mbandaka,0.0487,18.2603,20.76,93,50,1.76,CD,1731264779
321,lucas,41.6501,-83.6666,16.61,94,100,4.63,US,1731264780
322,gamba,-2.65,10.0,25.22,87,96,1.64,GA,1731264781
323,tamanrasset,22.785,5.5228,19.95,19,0,5.66,DZ,1731264782
324,gisborne,-38.6533,178.0042,19.13,71,77,5.13,NZ,1731264783
325,murgab,37.4966,61.9714,7.93,76,0,0.0,TM,1731264784
326,burgersdorp,-30.9977,26.3286,14.62,83,0,3.6,ZA,1731264785
327,sao miguel do araguaia,-13.275,-50.1628,28.24,69,58,3.26,BR,1731264786
328,gejiu,23.306,103.1635,11.15,91,14,0.47,CN,1731264788
329,zheleznodorozhnyy,55.7503,38.0042,0.75,83,48,1.74,RU,1731264789
330,mount pearl,47.5166,-52.7813,3.41,61,75,12.35,CA,1731264790
331,six-fours-les-plages,43.0938,5.84,16.36,66,100,0.53,FR,1731264791
332,coyhaique,-45.5752,-72.0662,9.74,83,100,4.12,CL,1731264493
333,rawson,-43.3002,-65.1023,20.16,15,20,6.17,AR,1731264793
334,orange cove,36.6244,-119.3137,25.54,16,14,1.47,US,1731264759
335,kalifornsky,60.4183,-151.29,2.19,64,0,4.12,US,1731264795
336,magadan,59.5667,150.8,-10.64,63,100,6.54,RU,1731264622
337,belmonte,-15.8631,-38.8828,23.11,92,100,6.38,BR,1731264797
338,sanming,26.2486,117.6186,18.96,97,97,1.18,CN,1731264798
339,le port,-20.9373,55.2919,24.98,93,24,2.65,RE,1731264799
340,port moresby,-9.4431,147.1797,25.68,89,75,2.06,PG,1731264801
341,tanout,14.9709,8.8879,23.9,19,5,4.31,NE,1731264802
342,oodweyne,9.4092,45.064,20.45,51,5,4.74,SO,1731264803
343,kanniyakumari,8.0833,77.5667,26.9,65,6,3.03,IN,1731264804
344,thunder bay,48.4001,-89.3168,6.99,93,100,1.03,CA,1731264805
345,mulchen,-37.7167,-72.2333,17.13,42,100,2.18,CL,1731264806
346,ankazoabo,-22.2833,44.5167,27.27,55,6,1.04,MG,1731264807
347,gizo,-8.103,156.8419,27.5,76,20,2.38,SB,1731264808
348,dolores,-36.3132,-57.6792,28.03,40,100,2.88,AR,1731264809
349,antofagasta,-23.65,-70.4,20.6,68,1,4.28,CL,1731264810
350,brazzaville,-4.2658,15.2832,22.42,91,96,0.55,CG,1731264811
351,cidreira,-30.1811,-50.2056,21.78,66,0,7.68,BR,1731264812
352,agadez,19.75,10.25,21.14,23,0,2.85,NE,1731264814
353,mezhdurechenskiy,59.6,65.9333,-6.92,76,72,6.14,RU,1731264815
